"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"08/2022";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"4.127.314,83";"41.321.051,81";"41.466.758,59";"26.285.168,46";
"09/2022";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"1.820.605,22";"2.210.566,53";"21.807.636,93";"871.286,21";
"02/2022";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"15.212.736,18";"34.997.803,74";"34.992.553,69";"7.522.133,07";
"05/2022";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"256.137.892,28";"40.697.255,98";"39.770.401,64";"18.943.999,60";
"06/2022";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"13.499.785,73";"46.915.492,05";"41.573.511,92";"1.953.687,51";
"01/2022";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"361.181.284,29";"32.004.341,99";"11.158.980,45";"32.158.649,52";
"03/2022";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"9.887.845,28";"37.767.503,98";"37.916.579,08";"8.110.923,86";
"07/2022";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"13.689.994,81";"42.000.546,65";"48.747.743,45";"994.306,09";
"07/2022";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"299.052,78";"34.834.666,27";"37.106.206,86";"121.077,06";
"04/2022";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"1.065.760,15";"27.436.447,92";"44.299.195,78";"1.006.176,05";
"03/2022";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"12.015.574,89";"41.950.875,33";"24.861.248,38";"6.604.103,54";
"06/2022";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"68.497.200,20";"35.837.130,03";"82.200.977,49";"9.533.840,16";
"09/2022";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"- 45.894.571,44";"195.121,30";"18.367.899,61";"977,01";
"05/2022";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"109.179.640,59";"84.186.394,41";"28.958.851,59";"2.853.847,43";
"01/2022";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"307.325.552,20";"18.738.877,29";"647.027,24";"24.865.315,49";
"02/2022";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"248.866,63";"24.316.618,53";"22.947.476,47";"6.141.535,40";
"08/2022";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"- 2.150.701,77";"34.609.627,81";"36.516.941,03";"6.111,09";
"06/2022";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"286.119.537,69";"268.708.759,78";"274.787.450,64";"541,00";
"08/2022";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"288.381.257,82";"293.495.475,00";"374.097.155,47";"589.814,69";
"02/2022";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"318.311.867,40";"291.417.331,23";"292.452.100,82";"621.134,75";
"09/2022";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"5.660.967,57";"5.528.965,16";"275.480.163,16";"0,00";
"05/2022";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"258.749.304,76";"274.587.700,51";"338.218.003,75";"34.973,05";
"03/2022";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"325.109.168,41";"299.703.194,39";"297.350.983,05";"1.838.672,82";
"01/2022";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"337.681.309,50";"289.633.062,35";"16.494.480,05";"187.079.366,20";
"04/2022";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"319.729.845,55";"356.909.751,91";"315.321.782,03";"255.454,18";
"07/2022";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"359.822.188,52";"375.210.088,24";"266.913.438,76";"0,00";
"01/2022";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"265.765.932,00";"5.574.123,98";"5.574.123,98";"14.025.701,19";
"03/2022";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"103.726,84";"7.253.358,43";"7.253.358,43";"13.539.372,79";
"05/2022";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"26.627.886,72";"5.672.540,95";"5.663.143,44";"11.871.592,20";
"08/2022";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"26.279.831,19";"20.898.894,04";"20.880.768,92";"798.843,82";
"02/2022";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"18.035.616,00";"5.076.333,64";"5.076.333,64";"13.793.922,00";
"07/2022";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"- 11.001.826,39";"12.047.705,79";"12.108.793,58";"714.471,88";
"09/2022";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"- 8.911,70";"3.890.482,98";"3.522.818,45";"35.236,16";
"06/2022";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"- 84.082,50";"10.875.919,47";"10.823.554,19";"4.913.602,73";
"04/2022";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"85.054,12";"6.192.452,39";"6.192.452,39";"11.720.006,73";
"09/2022";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"22.159,21";"32.039,09";"113.315,16";"0,00";
"06/2022";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"312.382,50";"641.932,84";"614.534,61";"0,00";
"03/2022";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"66.465,11";"251.226,95";"221.710,50";"16.695,00";
"08/2022";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"229.150,01";"506.441,97";"511.337,96";"1.963,53";
"01/2022";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"1.454.027,00";"120.014,90";"37.048,39";"248.247,60";
"02/2022";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"279.206,02";"148.128,69";"146.509,13";"91.180,20";
"07/2022";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"728.779,95";"531.055,42";"572.701,44";"0,00";
"05/2022";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"339.385,73";"317.407,76";"313.122,98";"0,00";
"04/2022";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"484.836,16";"432.310,31";"447.880,44";"0,00";
"03/2022";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"206.358,05";"31.838.833,90";"31.707.927,12";"1.357.455,96";
"09/2022";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"40.876,24";"735.289,59";"21.705.784,17";"29.177,49";
"04/2022";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"15.245.792,83";"31.392.624,95";"31.777.727,21";"677.032,74";
"07/2022";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"197.646,74";"32.498.719,86";"40.339.217,46";"609.795,11";
